cluster_id,center_latitude,center_longitude,crime_count,dominant_crime_type,average_severity,raw_score,sample_area,risk_score,risk_level
H-0049,41.816047,-87.633251,122,BATTERY,3.21,392.0,9,0.12,green
H-0047,41.932111,-87.788588,123,THEFT,2.93,361.0,25,0.11,green
H-0063,41.924531,-87.666875,118,THEFT,3.04,359.0,18,0.11,green
H-0007,41.809909,-87.644562,119,THEFT,2.97,354.0,9,0.11,green
H-0034,41.718908,-87.536924,108,ASSAULT,3.08,333.0,4,0.1,green
H-0068,41.70229,-87.605739,106,BATTERY,3.17,336.0,5,0.1,green
H-0091,41.831906,-87.674388,107,THEFT,3.06,327.0,9,0.1,green
H-0073,41.835888,-87.666178,104,THEFT,3.21,334.0,9,0.1,green
H-0056,41.825229,-87.632698,106,BATTERY,3.24,343.0,9,0.1,green
H-0030,41.728017,-87.596186,114,MOTOR VEHICLE THEFT,2.89,329.0,4,0.1,green
H-0028,41.702945,-87.535539,115,THEFT,3.04,350.0,4,0.1,green
H-0059,41.9891,-87.665749,102,BATTERY,3.22,328.0,20,0.1,green
H-0058,41.976825,-87.901013,120,THEFT,2.85,342.0,16,0.1,green
H-0074,41.764478,-87.59643,95,BATTERY,3.14,298.0,3,0.09,green
H-0027,41.960414,-87.766588,104,THEFT,2.88,299.0,16,0.09,green
H-0038,41.693942,-87.642313,102,CRIMINAL DAMAGE,2.85,291.0,22,0.08,green
H-0061,41.913563,-87.701366,100,MOTOR VEHICLE THEFT,2.93,293.0,14,0.08,green
H-0052,41.779129,-87.674653,91,BATTERY,2.97,270.0,7,0.08,green
H-0043,41.975296,-87.697986,91,THEFT,2.98,271.0,20,0.08,green
H-0060,41.749958,-87.683007,84,BATTERY,3.19,268.0,8,0.07,green
H-0032,41.97487,-87.890349,87,THEFT,2.92,254.0,16,0.07,green
H-0079,41.945779,-87.767682,89,THEFT,2.9,258.0,16,0.07,green
H-0057,41.975437,-87.845674,84,THEFT,2.93,246.0,16,0.07,green
H-0086,41.978373,-87.838255,90,BATTERY,2.8,252.0,16,0.07,green
H-0082,41.684509,-87.629424,71,BATTERY,3.07,218.0,5,0.06,green
H-0069,41.822857,-87.699215,67,BATTERY,3.22,216.0,9,0.06,green
H-0055,41.947564,-87.702144,81,THEFT,2.78,225.0,17,0.06,green
H-0042,41.945982,-87.663896,77,THEFT,2.94,226.0,19,0.06,green
H-0044,41.979016,-87.906463,81,THEFT,2.65,215.0,16,0.06,green
H-0078,41.799485,-87.744082,69,THEFT,3.13,216.0,8,0.06,green
H-0090,41.727039,-87.568798,74,THEFT,3.22,238.0,4,0.06,green
H-0088,41.798358,-87.687244,75,BATTERY,3.08,231.0,9,0.06,green
H-0077,41.692972,-87.652023,74,MOTOR VEHICLE THEFT,3.08,228.0,22,0.06,green
H-0083,41.993368,-87.674294,79,THEFT,2.82,223.0,24,0.06,green
H-0045,41.777249,-87.771714,84,OTHER OFFENSE,2.62,220.0,8,0.06,green
H-0033,41.692455,-87.65695,72,CRIMINAL DAMAGE,2.89,208.0,22,0.05,green
H-0046,41.684735,-87.653227,72,CRIMINAL DAMAGE,2.94,212.0,5,0.05,green
H-0102,41.970904,-87.678213,62,THEFT,3.02,187.0,20,0.05,green
H-0099,41.785785,-87.724471,62,BATTERY,3.0,186.0,8,0.05,green
H-0070,41.944155,-87.735921,61,BATTERY,3.25,198.0,17,0.05,green
H-0053,41.707747,-87.580935,67,MOTOR VEHICLE THEFT,2.93,196.0,4,0.05,green
H-0089,41.711582,-87.53709,71,CRIMINAL DAMAGE,2.76,196.0,4,0.05,green
H-0085,41.794006,-87.734243,65,BATTERY,2.91,189.0,8,0.05,green
H-0081,41.696412,-87.595979,61,THEFT,3.08,188.0,5,0.05,green
H-0095,41.653402,-87.545471,69,BATTERY,2.97,205.0,4,0.05,green
H-0075,41.946278,-87.712993,62,THEFT,2.97,184.0,17,0.04,green
H-0064,41.994875,-87.881913,80,DECEPTIVE PRACTICE,2.29,183.0,16,0.04,green
H-0096,41.943807,-87.756778,60,BATTERY,2.98,179.0,16,0.04,green
H-0076,41.989598,-87.670457,56,THEFT,2.88,161.0,20,0.04,green
H-0103,41.728052,-87.649758,61,MOTOR VEHICLE THEFT,2.84,173.0,22,0.04,green
H-0097,41.933671,-87.736912,51,BATTERY,3.08,157.0,25,0.03,green
H-0072,41.829441,-87.627071,50,THEFT,3.08,154.0,2,0.03,green
H-0084,41.930837,-87.69762,51,THEFT,2.96,151.0,14,0.03,green
H-0093,41.843024,-87.63328,46,THEFT,2.98,137.0,9,0.03,green
H-0098,41.791239,-87.605915,40,MOTOR VEHICLE THEFT,3.33,133.0,2,0.03,green
H-0094,41.705197,-87.601385,47,BATTERY,3.17,149.0,5,0.03,green
H-0101,41.798889,-87.691108,44,WEAPONS VIOLATION,2.89,127.0,9,0.02,green
H-0092,41.688637,-87.649481,44,CRIMINAL DAMAGE,2.77,122.0,22,0.02,green
H-0071,41.727057,-87.59946,31,BATTERY,3.0,93.0,4,0.01,green
H-0080,41.971439,-87.667843,19,THEFT,3.21,61.0,20,0.0,green
H-0100,41.940619,-87.663342,24,THEFT,2.83,68.0,19,0.0,green
